codename,id,name,description,views,created_at,updated_at,is_published,language_id,category_id,joined_tag_names,language_code,next_expiration_on,language_code
how-can-i-add-a-photo-from-the-photo-gallery-in-an-inspection-form,341368,How can I add a photo from the photo gallery in an inspection form?,"",2185,2018-10-04 09:42:03 UTC,2019-08-08 08:40:00 UTC,true,1,,,,,,en_US
how-to-get-a-summary-statistics-of-our-issue-records,268294,How to get a summary statistics of our issue records? ,"",2318,2017-08-22 02:06:01 UTC,2018-09-26 09:04:46 UTC,true,1,,,,,,en_US
how-can-i-link-issues-to-a-form,264254,How can I link issues to a form?,"",3713,2017-07-24 07:50:18 UTC,2019-11-01 04:02:19 UTC,true,1,,,,,,en_US
how-to-design-the-issue-list,266217,How to design the issue list?,"",2802,2017-08-06 13:53:02 UTC,2019-07-04 10:13:27 UTC,true,1,,,,,,en_US
can-i-set-up-auto-sync,264203,Can I set up auto sync?,"",2463,2017-07-24 06:16:41 UTC,2019-11-01 03:58:59 UTC,true,1,,,,,,en_US
daily-site-walk,268288,Site Diary,"",3404,2017-08-22 01:52:38 UTC,2019-04-29 05:14:50 UTC,true,1,,,,,,en_US
how-do-i-create-a-new-project,553879,How do I create a new project?,"",1490,2020-04-02 07:21:22 UTC,2020-04-02 09:51:23 UTC,true,1,,,,,,en_US
safety-inspection,268286,Safety Inspection,"",2923,2017-08-22 01:47:02 UTC,2019-04-26 10:13:09 UTC,true,1,,,,,,en_US
enable2fa,357025,Enable Two-Factor Authentication (at Company level),"",1806,2019-01-09 08:31:45 UTC,2019-08-08 08:45:37 UTC,true,1,,,,,,en_US
how-to-delete-a-folder,268885,How to delete a folder?,"",1813,2017-08-25 08:57:49 UTC,2018-03-14 08:06:19 UTC,true,1,,,,,,en_US
release-notes-hot-fix-ios-v41486-29-may-2020,595762,Release Notes - Hot fix iOS v4.148.6 (29-May-2020),"",1000,2020-06-15 02:16:05 UTC,2020-06-15 02:16:45 UTC,true,1,,,,,,en_US
release-notes-hotfix-ios-/-android-v41512-(-6-oct-2020)-,676156,Release Notes - Hotfix iOS / Android v4.151.2 (-6-Oct-2020) ,"",660,2020-10-06 12:31:36 UTC,2020-10-06 12:33:29 UTC,true,1,,,,,,en_US
what-do-the-pin-colours-represent,264262,The issue pins have different colours. What do they mean?,"",3117,2017-07-24 08:05:30 UTC,2019-02-13 13:54:24 UTC,true,1,,,,,,en_US
how-to-edit-existing-drawing,264284,How to edit drawings?,"",2824,2017-07-24 09:18:37 UTC,2018-04-30 07:11:23 UTC,true,1,,,,,,en_US
loginwith2fa,356992,Login with Two-Factor Authentication,"",4066,2019-01-09 03:16:45 UTC,2019-11-01 03:58:41 UTC,true,1,,,,,,en_US
how-to-set-up-forms-notifications-for-all-users,266215,How to set up forms notifications for all users?,"",2577,2017-08-06 13:51:36 UTC,2018-11-05 05:31:08 UTC,true,1,,,,,,en_US
340895-create-barcode-for-location,340895,How to generate QR codes for locations? ,"",2540,2018-09-27 10:20:21 UTC,2021-02-10 08:16:32 UTC,true,1,,,,,,en_US
340867-move-edit-delete-a-location-pin,340867,How to move / edit / delete a location pin?,"",2133,2018-09-27 04:33:32 UTC,2018-10-29 02:29:09 UTC,true,1,,,,,,en_US
how-do-i-see-custom-dashboard,339604,"How do I view a custom KPI dashboard?
","",2925,2018-09-18 01:54:21 UTC,2018-09-27 03:33:55 UTC,true,1,,,,,,en_US
how-to-set-permission-for-custom-reports,339388,How to set permissions for custom reports? ,"",1885,2018-09-14 11:51:30 UTC,2019-06-10 05:40:02 UTC,true,1,,,,,,en_US
how-to-the-snagr-home-user-request-an-appointment?,623309,How to the SnagR Home user request an appointment?,"",896,2020-08-10 07:29:38 UTC,2020-08-10 11:17:04 UTC,true,1,,,,,,en_US
release-notes-hotfix-ios-v41527---android-v41529-(21-jan-2021)-,802435,Release Notes - Hotfix iOS v4.152.7 / Android v4.152.9 (21-Jan-2021) ,"",933,2021-01-21 03:18:59 UTC,2021-01-21 03:25:28 UTC,true,1,,,,,,en_US
how-to-manage-subscriptions,268447,How to manage subscriptions?,"",2508,2017-08-23 06:40:03 UTC,2018-12-14 07:54:39 UTC,true,1,,,,,,en_US
340754-construction-stages,340754,Create Construction Stages,"",1682,2018-09-26 09:29:11 UTC,2018-09-27 10:33:31 UTC,true,1,,,,,,en_US
330054-import-export-inspection-form-templates,330054,Import/Export Inspection Form Templates,"",2714,2018-07-31 05:38:27 UTC,2019-05-06 04:28:03 UTC,true,1,,,,,,en_US
315713-how-to-set-permissions-forms,315713, How to set permissions? (Forms) ,"",2503,2018-05-09 07:53:29 UTC,2020-12-14 09:49:12 UTC,true,1,,,,,,en_US
340758-how-to-edit-the-inspection-template,340758,How can I edit an inspection template?,"",1786,2018-09-26 09:36:22 UTC,2019-08-08 08:19:08 UTC,true,1,,,,,,en_US
how-to-edit-items-on-standard-issue-list,283557,How to edit items on standard issue list?,"",1871,2017-10-31 04:43:59 UTC,2019-01-10 09:41:04 UTC,true,1,,,,,,en_US
release-notes-hot-fix-android-v41496-16-july-2020,610178,Release Notes - Hot fix Android v4.149.6 (16-July-2020),"",904,2020-07-16 06:38:43 UTC,2020-07-20 11:02:06 UTC,true,1,,,,,,en_US
how-to-confirm-appointment?,623368,How to confirm appointment?,"",1092,2020-08-10 12:00:06 UTC,2020-08-10 12:14:24 UTC,true,1,,,,,,en_US
release-notes-hot-fix-ios-v41493-18-june-2020,598344,Release Notes - Hot fix iOS v4.149.3 (18-June-2020),"",940,2020-06-18 23:29:43 UTC,2020-06-18 23:31:53 UTC,true,1,,,,,,en_US
release-notes-hotfix-ios-v41526-(9-dec-2020),764733,Release Notes - Hotfix iOS v4.152.6 (9-Dec-2020),"",899,2020-12-09 14:00:28 UTC,2020-12-09 14:02:17 UTC,true,1,,,,,,en_US
how-can-i-be-notified-of-forms-updates,268446,How can I be notified of forms updates?,"",2291,2017-08-23 06:39:26 UTC,2018-11-05 02:06:36 UTC,true,1,,,,,,en_US
how-to-find-documents-by-locations,269193,How to find documents by locations? ,"",2076,2017-08-28 04:04:28 UTC,2019-08-08 08:52:50 UTC,true,1,,,,,,en_US
how-to-scan-and-fill-the-qrcode-image-qrcode-text-field,611310,How to scan and fill the QRCode image / QRCode text field?,"",1281,2020-07-20 07:41:24 UTC,2020-07-20 07:46:05 UTC,true,1,,,,,,en_US
how-to-add-single-items-to-issue-list,266218,How to add single items to issue list? ,"",2134,2017-08-06 13:53:28 UTC,2018-10-04 05:30:27 UTC,true,1,,,,,,en_US
how-to-link-drawings-together-automatically,264281,How to link drawings together (automatically)?,"",2227,2017-07-24 09:10:02 UTC,2018-09-27 04:00:41 UTC,true,1,,,,,,en_US
release-notes-hotfix-iosandroid-v41537-28-may-2021-,940850,Release Notes - Hotfix iOS/Android v4.153.7 (28-May-2021) ,"",836,2021-05-28 08:45:58 UTC,2021-05-28 08:47:04 UTC,true,1,,,,,,en_US
386689-how-can-i-contact-snagr,386689,How can I contact SnagR?,"",2372,2019-05-10 05:03:28 UTC,2019-05-10 05:05:26 UTC,true,1,,,,,,en_US
how-to-update-the-users-profile,2153157,How to update the user's profile?,"",550,2023-09-04 08:34:29 UTC,2023-09-04 08:46:02 UTC,true,1,,,,,,en_US
how-do-i-download-a-project,263838,How do I download a project on mobile app?,"",7234,2017-07-20 14:22:38 UTC,2019-11-01 03:58:47 UTC,true,1,,,,,,en_US
how-to-enable-form-templates-for-a-project,266224,I can't see the Inspection Template on the project. What is wrong?,"",2425,2017-08-06 14:20:11 UTC,2019-05-10 10:43:32 UTC,true,1,,,,,,en_US
how-to-set-up-issues-notifications-for-all-users,266214,How to set up issues notifications for all users?,"",3062,2017-08-06 13:50:51 UTC,2019-01-10 07:59:58 UTC,true,1,,,,,,en_US
where-do-i-see-issue-notifications,265852,Where do I see issue notifications?,"",2212,2017-08-03 08:47:52 UTC,2018-03-14 07:06:43 UTC,true,1,,,,,,en_US
304335-how-to-create-custom-list,304335,How to create a custom list?,"",2535,2018-03-16 04:30:29 UTC,2018-05-02 06:40:07 UTC,true,1,,,,,,en_US
340877-filtering-issues-on-device,340877,Can I filter issues on drawings? ,"",2897,2018-09-27 07:56:44 UTC,2018-09-27 10:11:03 UTC,true,1,,,,,,en_US
340759-can-i-edit-the-priorities-and-due-day,340759,Edit Priorities and Due Days (at Company Level),"",1588,2018-09-26 09:47:57 UTC,2019-01-07 09:32:22 UTC,true,1,,,,,,en_US
how-to-download-files,264210,How to download files?,"",2552,2017-07-24 06:38:55 UTC,2018-03-14 08:12:40 UTC,true,1,,,,,,en_US
304211-can-i-delete-form,304211,How can I delete Inspection Forms?,"",2717,2018-03-15 10:04:40 UTC,2019-02-04 05:31:25 UTC,true,1,,,,,,en_US
340763-add-user-at-the-company-level,340763,Manage User at Company Level,"",2079,2018-09-26 10:05:16 UTC,2018-09-27 04:56:42 UTC,true,1,,,,,,en_US
311758-how-to-batch-edit-issues,311758,Can I batch edit issues?,"",2439,2018-04-23 10:33:28 UTC,2019-06-20 05:27:50 UTC,true,1,,,,,,en_US
can-i-delete-issues,265685,Can I delete issues?,"",2121,2017-08-02 07:52:54 UTC,2018-11-12 03:37:47 UTC,true,1,,,,,,en_US
can-i-copy-and-paste-an-issue,265856,"Can I ""copy and paste"" an issue? ","",2174,2017-08-03 09:14:21 UTC,2019-11-01 04:01:31 UTC,true,1,,,,,,en_US
340881-the-app-has-been-checking-credentials-for-a-long-time-and-does-not-allow-me-to-download-project-on-mobile-app-what-is-wrong,340881,"The app has been ""Checking Credentials"" for a long time. What is wrong? ","",1783,2018-09-27 08:28:00 UTC,2019-01-15 10:27:44 UTC,true,1,,,,,,en_US
release-notes-hotfix-ios-/-android-v41506-(23-sept-2020)-,660682,Release Notes - Hotfix iOS / Android v4.150.6 (23-Sept-2020) ,"",705,2020-09-24 09:15:40 UTC,2020-09-24 09:20:09 UTC,true,1,,,,,,en_US
317970-permit-to-work,317970,Permit to Work,"",2113,2018-05-23 05:21:20 UTC,2019-04-29 04:01:48 UTC,true,1,,,,,,en_US
what-is-the-quickest-way-to-set-up-repetitive-units,268134,What is the quickest way to set up repetitive units? ,"",2186,2017-08-21 09:28:48 UTC,2018-09-27 04:01:50 UTC,true,1,,,,,,en_US
release-notes-hotfix-ios-v41552-android-v41554-17-nov-2021,1145959,Release Notes - Hotfix iOS v4.155.2 / Android v4.155.4 (17-Nov-2021),"",779,2021-11-17 10:31:11 UTC,2021-11-17 10:34:36 UTC,true,1,,,,,,en_US
request-for-inspections,268284,Request for Inspections,"",1952,2017-08-22 01:42:32 UTC,2019-04-17 05:28:46 UTC,true,1,,,,,,en_US
how-to-generate-an-issue-report,264237,How to generate an issue report?,"",5659,2017-07-24 07:28:47 UTC,2019-02-13 13:55:05 UTC,true,1,,,,,,en_US
what-does-synchronise-mean,264204,What is synchronise and why should I do it?,"",3941,2017-07-24 06:18:25 UTC,2019-10-24 04:14:25 UTC,true,1,,,,,,en_US
subcontractor,338148,Subcontractor,"",5156,2018-09-07 10:09:50 UTC,2019-04-30 05:17:03 UTC,true,1,,,,,,en_US
release-notes-hotfix-ios-v41540-07-june-2021,951285,Release Notes - Hotfix iOS v4.154.0 (07-June-2021),"",853,2021-06-08 01:48:00 UTC,2021-06-08 01:49:09 UTC,true,1,,,,,,en_US
developer,340861,Developer,"",2935,2018-09-27 03:20:17 UTC,2019-01-08 10:47:24 UTC,true,1,,,,,,en_US
how-to-update-issues,264230,How to update / close issues?,"",5563,2017-07-24 07:11:25 UTC,2019-02-13 13:54:08 UTC,true,1,,,,,,en_US
386735-how-to-mark-the-document-as-not-in-use-new-upgrade,386735,"How to mark the document as ""Not in Use""? (New Upgrade)","",1393,2019-05-10 09:08:40 UTC,2019-11-22 12:03:47 UTC,true,1,,,,,,en_US
how-to-complete-forms-on-website,266256,How to complete forms on website?,"",3079,2017-08-07 09:44:52 UTC,2019-11-01 04:00:36 UTC,true,1,,,,,,en_US
release-notes-ios-v41497-(18-sept-2020),648266,Release Notes - iOS v4.149.7 & Android v4.149.8 (18-Sept-2020),"",918,2020-09-19 01:17:49 UTC,2020-09-24 09:14:59 UTC,true,1,,,,,,en_US
common-issues-in-project-download,268292,"I can login on website, but I can't on mobile app. What is wrong?","",4802,2017-08-22 01:59:41 UTC,2019-01-10 14:33:59 UTC,true,1,,,,,,en_US
343363-how-to-create-a-hierarchical-list,343363,How to create a Hierarchical List? ,"",2155,2018-10-12 08:08:01 UTC,2018-10-15 02:45:34 UTC,true,1,,,,,,en_US
340889-inspection-dashboard,340889,How do I get an overview of all Inspection Forms?,"",2056,2018-09-27 09:39:01 UTC,2019-01-02 13:36:38 UTC,true,1,,,,,,en_US
341362-i-can-t-sync-on-mobile-app-what-should-i-do,341362,I can't sync on mobile app. What should I do? ,"",2161,2018-10-04 05:42:53 UTC,2019-05-10 05:03:08 UTC,true,1,,,,,,en_US
340888-project-checklists,340888,Import Project Checklists (at Project level),"",1659,2018-09-27 09:37:15 UTC,2019-09-25 08:14:46 UTC,true,1,,,,,,en_US
release-notes-hotfix-ios-v41463-18-march-2020,546284,Release Notes - Hotfix iOS v4.146.3 (18-March-2020),"",962,2020-03-19 02:42:44 UTC,2020-03-19 02:45:54 UTC,true,1,,,,,,en_US
release-notes-v4111930-29-jan-2019,526502,Release Notes - v4.1.11930 (29-Jan-2019),"",971,2020-01-29 09:29:28 UTC,2020-01-29 09:31:09 UTC,true,1,,,,,,en_US
how-to-complete-forms-on-device,264253,How to complete forms on device? ,"",3963,2017-07-24 07:50:16 UTC,2019-11-01 04:00:31 UTC,true,1,,,,,,en_US
release-notes-hotfix-ios-v41465-19-march-2020,546285,Release Notes - Hotfix iOS v4.146.5 (19-March-2020),"",1036,2020-03-19 02:46:19 UTC,2020-03-19 02:48:20 UTC,true,1,,,,,,en_US
304697-how-to-export-excel-from-template,304697,How to export form content into Excel?,"",2796,2018-03-20 13:50:02 UTC,2019-11-07 05:01:49 UTC,true,1,,,,,,en_US
340883-what-os-version-does-snagr-support,340883,What OS version does SnagR support?,"",1629,2018-09-27 09:03:18 UTC,2020-07-16 10:05:53 UTC,true,1,,,,,,en_US
can-i-extract-a-list-of-forms-that-are-created-on-snagr,264273,Can I extract a list of forms that are created on SnagR? ,"",2135,2017-07-24 08:31:10 UTC,2018-10-04 05:29:26 UTC,true,1,,,,,,en_US
how-do-i-export-form-pdf-if-there-are-issues-and-documents-attached-to-it,266542,How do I export form PDF if there are issues and documents attached to it?,"",2344,2017-08-10 07:53:57 UTC,2018-10-04 05:29:21 UTC,true,1,,,,,,en_US
can-i-export-forms-in-pdf,266541,Can I export forms in PDF?,"",2370,2017-08-10 07:50:44 UTC,2019-11-01 04:00:39 UTC,true,1,,,,,,en_US
384922-how-to-batch-edit-user-s-role-enabled,384922,How to batch edit User(s) Role / Enabled?,"",1328,2019-05-03 06:33:47 UTC,2019-08-22 04:44:40 UTC,true,1,,,,,,en_US
how-to-set-permissions-issues,271445,How to set permissions? (Issues) ,"",3540,2017-08-30 10:12:12 UTC,2019-05-03 10:38:04 UTC,true,1,,,,,,en_US
how-do-i-see-form-notifications,264276,How do I see form notifications?,"",2311,2017-07-24 08:50:10 UTC,2019-08-07 10:37:35 UTC,true,1,,,,,,en_US
to-batch-assign-the-appointment?,623372,To batch assign the appointment?,"",872,2020-08-10 12:15:57 UTC,2020-08-10 12:36:43 UTC,true,1,,,,,,en_US
main-contractor,338152,Main Contractor,"",4423,2018-09-07 11:00:42 UTC,2019-04-30 05:43:45 UTC,true,1,,,,,,en_US
release-notes-hotfix-ios-v41525-(3-dec-2020)-,756887,Release Notes - Hotfix iOS v4.152.5 (3-Dec-2020) ,"",874,2020-12-03 02:32:39 UTC,2020-12-03 02:33:40 UTC,true,1,,,,,,en_US
340869-location-ready-for-inspection,340869,Location Ready for Inspection,"",2036,2018-09-27 05:16:21 UTC,2018-09-27 07:31:26 UTC,true,1,,,,,,en_US
340760-edit-view-projects,340760,Edit / View Projects (at Company Level),"",1514,2018-09-26 09:55:25 UTC,2019-01-07 10:25:50 UTC,true,1,,,,,,en_US
how-to-break-items-out-from-a-plot-with-multiple-issues,264233,How to break items out from a plot with multiple issues?,"",1776,2017-07-24 07:21:19 UTC,2018-03-14 07:12:47 UTC,true,1,,,,,,en_US
release-notes-hotfix-android-v41544-24-august-2021,1018790,Release Notes - Hotfix Android v4.154.4 (24-August-2021),"",787,2021-08-24 03:06:10 UTC,2021-08-24 03:07:11 UTC,true,1,,,,,,en_US
release-notes-android-v41605-04-feb-2022,1231721,Release Notes - Android v4.160.5 (04-Feb-2022),"",753,2022-02-04 04:52:33 UTC,2022-02-04 04:54:36 UTC,true,1,,,,,,en_US
304553-how-to-design-the-dms-export-template,304553,[Export Form Content to Excel] How to setup template?,"",3021,2018-03-19 05:21:49 UTC,2019-08-08 08:26:10 UTC,true,1,,,,,,en_US
340886-construction-stages,340886,Import Construction Stages Schedules to track progress (at Project Level),"",1891,2018-09-27 09:32:59 UTC,2019-05-14 04:37:03 UTC,true,1,,,,,,en_US
wie-kann-ich-dokumente-mit-formularen-verknupfen,402616,Wie kann ich Dokumente mit Formularen verknüpfen?,"",1151,2019-07-04 03:02:43 UTC,2019-08-01 10:13:49 UTC,true,4,,,,,,de_DE
projektcheckliste-erstellen,402545,Projektcheckliste erstellen,"",821,2019-07-04 03:00:53 UTC,2019-08-01 12:14:49 UTC,true,4,,,,,,de_DE
nl-issues-in-project-download,402496,Veelvoorkomende problemen bij het downloaden van een project,"",122,2019-07-04 02:59:53 UTC,2019-07-04 02:59:54 UTC,true,4,,,,,,de_DE
overzicht-voor-inspectie-teams-adviseurs,402502,Overzicht voor Inspectie Teams / Adviseurs,"",90,2019-07-04 03:00:01 UTC,2019-07-04 03:00:03 UTC,true,4,,,,,,de_DE
overzicht-voor-management,402544,Overzicht voor Management,"",97,2019-07-04 03:00:52 UTC,2019-07-04 03:00:53 UTC,true,4,,,,,,de_DE
overzicht-voor-onderaannemers,402556,Overzicht voor onderaannemers,"",85,2019-07-04 03:01:04 UTC,2019-07-04 03:01:04 UTC,true,4,,,,,,de_DE
wie-kann-unser-problembehebungsprozess-in-snagr-definiert-werden,402592,Hoe kan ons probleemherstelproces worden gedefinieerd in SnagR?,"",117,2019-07-04 03:02:02 UTC,2019-07-31 14:12:53 UTC,false,4,,,,,,de_DE
kan-ik-meer-fotos-toevoegen-aan-een-actiepunt,402612,Kan ik meer foto's toevoegen aan een actiepunt?,"",103,2019-07-04 03:02:34 UTC,2019-07-04 03:02:35 UTC,true,4,,,,,,de_DE
hoe-voeg-ik-handmatige-workflows-toe-aan-formulieren,402472,Hoe voeg ik handmatige workflows toe aan formulieren?,"",105,2019-07-04 02:59:29 UTC,2019-07-04 02:59:29 UTC,true,4,,,,,,de_DE
wat-is-het-verschil-tussen-een-gebruikers-en-aannemers-account,402493,Wat is het verschil tussen een gebruikers en aannemers account? ,"",99,2019-07-04 02:59:51 UTC,2019-07-04 02:59:51 UTC,true,4,,,,,,de_DE
hoe-ontwerp-ik-inspecties,402514,Hoe ontwerp ik inspecties?,"",100,2019-07-04 03:00:16 UTC,2019-07-04 03:00:17 UTC,true,4,,,,,,de_DE
hoe-stel-ik-inspecties-en-formulieren-in,402538,Hoe stel ik inspecties en formulieren in?,"",106,2019-07-04 03:00:48 UTC,2019-07-04 03:00:49 UTC,true,4,,,,,,de_DE
wie-lade-ich-dokumente-hoch,402519,Wie lade ich Dokumente hoch?,"",950,2019-07-04 03:00:22 UTC,2019-08-01 07:36:24 UTC,true,4,,,,,,de_DE
kann-ich-einen-aktionspunkt-und-einfugen,402488,Kann ich einen Aktionspunkt und einfügen?,"",970,2019-07-04 02:59:47 UTC,2019-08-01 08:19:25 UTC,true,4,,,,,,de_DE
kan-ik-actiepunten-verwijderen,402539,Kann ich Aktionspunkte löschen?,"",709,2019-07-04 03:00:49 UTC,2019-07-26 09:44:32 UTC,true,4,,,,,,de_DE
wie-losche-ich-inspektionsformulare,402521,Wie lösche ich Inspektionsformulare?,"",888,2019-07-04 03:00:23 UTC,2019-08-01 08:32:29 UTC,true,4,,,,,,de_DE
wie-erstelle-ich-ein-digitales-formular,402537,Wie erstelle ich ein digitales Formular?,"",1217,2019-07-04 03:00:43 UTC,2019-08-01 11:36:09 UTC,true,4,,,,,,de_DE
hauptauftragnehmer,402477,Hauptauftragnehmer,"",961,2019-07-04 02:59:34 UTC,2019-08-01 08:54:28 UTC,true,4,,,,,,de_DE
wie-bearbeite-ich-elemente-in-der-standardaktionspunkteliste,402623,Wie bearbeite ich Elemente in der Standardaktionspunkteliste?,"",985,2019-07-04 03:02:49 UTC,2019-07-31 13:57:11 UTC,true,4,,,,,,de_DE
wie-fuge-ich-einem-projekt-benutzer-hinzu,402501,Wie füge ich einem Projekt Benutzer hinzu?,"",1187,2019-07-04 03:00:00 UTC,2019-08-01 12:00:06 UTC,true,4,,,,,,de_DE
aktionspunktverwaltung,402579,Aktionspunktverwaltung,"",949,2019-07-04 03:01:49 UTC,2019-08-01 08:01:05 UTC,true,4,,,,,,de_DE
kann-ich-eine-automatische-synchronisation-einrichten,402581,Kann ich eine automatische Synchronisation einrichten?,"",1162,2019-07-04 03:01:52 UTC,2019-07-31 15:11:37 UTC,true,4,,,,,,de_DE
wie-erstelle-ich-einen-aktionspunktbericht,402479,Wie erstelle ich einen Aktionspunktbericht?,"",1262,2019-07-04 02:59:35 UTC,2019-07-22 12:53:42 UTC,true,4,,,,,,de_DE
wie-aktualisiere-ich-einen-aktionspunkt,402512,Wie aktualisiere ich einen Aktionspunkt?,"",1290,2019-07-04 03:00:14 UTC,2019-07-22 12:31:27 UTC,true,4,,,,,,de_DE
genehmigungsprufungen-anzeigen-bearbeiten-loschen,402559,Genehmigungsprüfungen anzeigen / bearbeiten / löschen,"",842,2019-07-04 03:01:06 UTC,2019-07-31 13:02:28 UTC,true,4,,,,,,de_DE
wie-kann-ich-die-verknupfung-von-aktionspunkten-mit-formularen-aufheben,402522,Wie kann ich die Verknüpfung von Aktionspunkten mit Formularen aufheben?,"",1132,2019-07-04 03:00:24 UTC,2019-08-01 08:31:23 UTC,true,4,,,,,,de_DE
wie-erstelle-ich-die-standardaktionspunktlisten,402572,Wie erstelle ich die Standardaktionspunktlisten ?,"",1148,2019-07-04 03:01:33 UTC,2019-07-31 13:44:14 UTC,true,4,,,,,,de_DE
was-bedeuten-die-verschiedenen-aktionspunktfarben,402596,Was bedeuten die verschiedenen Aktionspunktfarben?,"",1014,2019-07-04 03:02:10 UTC,2019-07-22 12:41:02 UTC,true,4,,,,,,de_DE
wie-sehe-ich-formularbenachrichtigungen,402565,Wie sehe ich Formularbenachrichtigungen?,"",1167,2019-07-04 03:01:16 UTC,2019-08-01 08:32:22 UTC,true,4,,,,,,de_DE
wie-entferne-ich-eine-formularvorlage-aus-einer-inspektionsvorlage,402489,Wie entferne ich eine Formularvorlage aus einer Inspektionsvorlage?,"",885,2019-07-04 02:59:48 UTC,2019-08-01 08:34:41 UTC,true,4,,,,,,de_DE
wie-erstelle-ich-eine-benutzerdefinierte-liste,402610,Wie erstelle ich eine benutzerdefinierte Liste?,"",1028,2019-07-04 03:02:29 UTC,2019-08-01 08:19:36 UTC,true,4,,,,,,de_DE
wie-kann-ich-aktionspunkte-mit-einem-formular-verknupfen,402569,Wie kann ich Aktionspunkte mit einem Formular verknüpfen?,"",1375,2019-07-04 03:01:28 UTC,2019-08-01 10:16:06 UTC,true,4,,,,,,de_DE
wie-exportiere-ich-formulare-in-pdf-wenn-aktionspunkte-und-dokumente-daran-angehangt-sind,402564,"Wie exportiere ich Formulare in PDF, wenn Aktionspunkte und Dokumente daran angehängt sind?","",1106,2019-07-04 03:01:15 UTC,2019-08-01 11:17:01 UTC,true,4,,,,,,de_DE
regionen-bereiche-programme-auf-unternehmensebene,402480,Regionen / Bereiche / Programme (auf Unternehmensebene),"",889,2019-07-04 02:59:35 UTC,2019-07-31 09:35:26 UTC,true,4,,,,,,de_DE
projekteinstellungen-bearbeiten-auf-projektebene,402528,Projekteinstellungen bearbeiten (auf Projektebene),"",852,2019-07-04 03:00:35 UTC,2019-07-31 08:58:48 UTC,true,4,,,,,,de_DE
wie-andere-ich-mein-passwort,402535,Wie ändere ich mein Passwort?,"",884,2019-07-04 03:00:42 UTC,2019-07-31 14:39:23 UTC,true,4,,,,,,de_DE
genehmigungsformularseite-hinzufugen,402591,Genehmigungsformularseite hinzufügen,"",966,2019-07-04 03:02:00 UTC,2019-08-01 12:11:51 UTC,true,4,,,,,,de_DE
ich-sehe-die-aktionspunktkategorien-nicht-was-ist-falsch,402571,Ich sehe die Aktionspunktkategorien nicht. Was ist falsch,"",898,2019-07-04 03:01:31 UTC,2019-07-31 13:58:21 UTC,true,4,,,,,,de_DE
lokation-abmelden,402593,Lokation Abmelden,"",858,2019-07-04 03:02:03 UTC,2019-07-31 14:38:15 UTC,true,4,,,,,,de_DE
was-sind-zeichnungfelde-und-wie-setze-ich-sie,402527,Was sind Zeichnungsfelder und wie setze ich sie?,"",1127,2019-07-04 03:00:31 UTC,2019-07-31 10:07:38 UTC,true,4,,,,,,de_DE
wie-trenne-ich-einen-aktionspunkt-von-einem-multiplot-mit-mehreren-aktionspunkten,402622,Wie trenne ich einen Aktionspunkt von einem Multiplot mit mehreren Aktionspunkten?,"",909,2019-07-04 03:02:49 UTC,2019-08-01 08:18:47 UTC,true,4,,,,,,de_DE
kann-ich-eine-inspektionsvorlage-auf-unternehmensebene-loschen,402619,Kann ich eine Inspektionsvorlage auf Unternehmensebene löschen?,"",889,2019-07-04 03:02:46 UTC,2019-08-01 08:34:47 UTC,true,4,,,,,,de_DE
formularinhalt-nach-excel-exportieren-wie-bereite-ich-eine-vorlage-vor,402487,[Formularinhalt nach Excel exportieren] Wie bereite ich eine Vorlage vor?,"",1114,2019-07-04 02:59:45 UTC,2019-08-01 11:43:43 UTC,true,4,,,,,,de_DE
wie-kann-ich-uber-formularanderungen-informiert-werden,402595,Wie kann ich über Formularänderungen informiert werden?,"",1108,2019-07-04 03:02:10 UTC,2019-08-01 08:32:04 UTC,true,4,,,,,,de_DE
kann-ich-den-lokation-eines-inspektionsformulars-andern,402541,Kann ich den Lokation eines Inspektionsformulars ändern?,"",881,2019-07-04 03:00:51 UTC,2019-08-01 08:32:46 UTC,true,4,,,,,,de_DE
wie-kann-ich-nach-formularen-suchen,402624,Wie kann ich nach Formularen suchen?,"",1212,2019-07-04 03:02:50 UTC,2019-08-01 10:13:16 UTC,true,4,,,,,,de_DE
welche-betriebssysteme-unterstutzt-snagr,402520,Welche Betriebssysteme unterstützt SnagR?,"",869,2019-07-04 03:00:23 UTC,2019-07-31 14:43:04 UTC,true,4,,,,,,de_DE
wie-erstellen-sie-eine-hierarchische-liste,402617,Wie erstellen Sie eine hierarchische Liste?,"",1082,2019-07-04 03:02:44 UTC,2019-07-31 08:45:56 UTC,true,4,,,,,,de_DE
lokation-zur-inspektion-bereit,402548,Lokation zur Inspektion bereit,"",1015,2019-07-04 03:00:54 UTC,2019-07-31 14:27:08 UTC,true,4,,,,,,de_DE
wie-kann-ich-die-verknupfung-von-dokumenten-mit-formularen-aufheben,402513,Wie kann ich die Verknüpfung von Dokumenten mit Formularen aufheben?,"",1082,2019-07-04 03:00:16 UTC,2019-08-01 08:31:03 UTC,true,4,,,,,,de_DE
lokation-schlieen-ubergeben,402563,Lokation schließen / übergeben,"",973,2019-07-04 03:01:13 UTC,2019-07-31 14:36:28 UTC,true,4,,,,,,de_DE
kann-ich-eine-liste-der-in-snagr-erstellten-formulare-extrahieren,402470,Kann ich eine Liste der in SnagR erstellten Formulare extrahieren?,"",991,2019-07-04 02:59:27 UTC,2019-08-01 08:20:15 UTC,true,4,,,,,,de_DE
